Context,Horizon,Score_Method,Label,Source_File,Total_Files_Evaluated,Mean_AUROC,Mean_AUPRC,Mean_VUS-ROC,Mean_VUS-PR
256,5,mse,c256_h5_mse,c256_h5_mse.csv,18,0.7969457087480841,0.3146380890636103,0.8190910371989686,0.30713123772519624
256,10,mse,c256_h10_mse,c256_h10_mse.csv,18,0.7993592030414328,0.3044896068024791,0.8217144506863578,0.3008121117293229
256,30,mse,c256_h30_mse,c256_h30_mse.csv,18,0.792876078800049,0.29907526810399954,0.811789873782132,0.29054293329420156
256,50,mse,c256_h50_mse,c256_h50_mse.csv,18,0.7901443018425193,0.28759797591238423,0.8050562870551812,0.2631395032079434
256,100,mse,c256_h100_mse,c256_h100_mse.csv,18,0.7728753043228593,0.2693664558239652,0.7838887891265592,0.23711903500032333
512,5,mse,c512_h5_mse,c512_h5_mse.csv,18,0.7818902239328925,0.32553613815663013,0.7916239681258146,0.31351424486594
512,10,mse,c512_h10_mse,c512_h10_mse.csv,18,0.778585132633012,0.3134462997843383,0.7873957560110383,0.2966293592222946
512,30,mse,c512_h30_mse,c512_h30_mse.csv,18,0.7689153721352089,0.29406060577265253,0.7780132068043841,0.2702464544530002
512,50,mse,c512_h50_mse,c512_h50_mse.csv,18,0.7598876679230863,0.2835065803204803,0.7632868201087091,0.25472206751798915
512,100,mse,c512_h100_mse,c512_h100_mse.csv,18,0.7433876955621884,0.2588320144216937,0.7435392273847237,0.22843253502146654
1024,5,mse,c1024_h5_mse,c1024_h5_mse.csv,18,0.7577489972339096,0.3170810743639062,0.7739180321856313,0.3072399044778722
1024,10,mse,c1024_h10_mse,c1024_h10_mse.csv,18,0.7559926998955977,0.3077875125581515,0.7684537407634661,0.28926130307846015
1024,30,mse,c1024_h30_mse,c1024_h30_mse.csv,18,0.744692275521484,0.29200591093953493,0.7519450842569944,0.26449798860329066
1024,50,mse,c1024_h50_mse,c1024_h50_mse.csv,18,0.7326229888060348,0.2620085215915143,0.7380771127049378,0.24466085308769467
1024,100,mse,c1024_h100_mse,c1024_h100_mse.csv,18,0.7129405413869625,0.23398258819173634,0.7211447317220272,0.21500359531217164
