dataset,n_files,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,21.46,0.1476,0.6844,0.0524,0.5917,0.2205,0.3671,0.1505,0.0007,0.2715
PSM,1,152.07,0.1625,0.5892,0.1703,0.5273,0.0438,0.358,0.1404,0.0033,0.2025
Daphnet,1,3.88,0.3275,0.9178,0.3399,0.9199,0.0158,0.4353,0.1776,0.0173,0.3293
Genesis,1,4.16,0.6531,0.998,0.9048,0.9997,0.3175,0.3175,0.3175,0.0464,0.9323
SWaT,1,10.37,0.2556,0.5373,0.2695,0.5689,0.1493,0.2856,0.4186,0.04,0.398
CreditCard,1,82.15,0.0018,0.5032,0.0191,0.6052,0.0,0.0,0.0,0.0,0.0405
GHL,23,70.7052,0.0467,0.6713,0.043,0.689,0.0726,0.387,0.1241,0.0071,0.5859
OPP,7,4.6329,0.0536,0.4729,0.055,0.4796,0.0203,0.1226,0.0545,0.016,0.6686
SMAP,25,1.326,0.3776,0.7472,0.391,0.7786,0.1217,0.2771,0.1838,0.0193,0.5887
MSL,14,1.3036,0.4749,0.6724,0.4906,0.7026,0.1792,0.2948,0.2926,0.0447,0.9171
MITDB,11,92.7418,0.1934,0.7561,0.1926,0.766,0.1307,0.3311,0.1902,0.0042,0.6055
SVDB,28,50.1461,0.6232,0.9363,0.6485,0.9443,0.4536,0.6445,0.5815,0.0041,0.6969
Exathlon,25,8.5396,0.3927,0.7309,0.4012,0.7367,0.2038,0.965,0.7848,0.0464,0.8914
SMD,20,5.227,0.3823,0.8344,0.3421,0.8357,0.3067,0.6334,0.4127,0.0123,0.6404
LTDB,4,27.42,0.526,0.7512,0.5801,0.7755,0.1061,0.2575,0.2002,0.0026,0.3587
TAO,11,19.6327,0.1568,0.6586,0.8168,0.9104,0.0237,0.0247,0.0234,0.0,0.1474
