dataset,n_files,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,178.81,0.1382,0.6309,0.1111,0.7285,0.2353,0.5337,0.1392,0.0005,0.2697
PSM,1,519.87,0.1626,0.6323,0.1704,0.6019,0.0251,0.835,0.1516,0.0032,0.3969
Daphnet,1,98.75,0.1378,0.7454,0.1446,0.7567,0.0178,0.8126,0.535,0.0208,0.8192
Genesis,1,42.5,0.0037,0.6001,0.0079,0.7426,0.0,0.0,0.0,0.0,0.6309
SWaT,2,155.865,0.4097,0.7648,0.4163,0.7495,0.0102,0.0662,0.1001,0.0298,0.3489
CreditCard,1,46.64,0.0029,0.5587,0.0327,0.8675,0.0126,0.0188,0.0119,0.0,0.5239
GHL,23,460.9426,0.0121,0.4358,0.0129,0.4413,0.0027,0.1069,0.0055,0.0019,0.3849
OPP,7,4.3243,0.2863,0.9417,0.2977,0.943,0.0109,0.414,0.0969,0.028,0.6021
SMAP,25,18.8448,0.0852,0.5791,0.0972,0.6522,0.0628,0.3631,0.1315,0.0199,0.6307
MSL,14,6.0179,0.0924,0.5853,0.1315,0.7097,0.0198,0.5045,0.1332,0.0514,0.6715
MITDB,11,457.2855,0.0993,0.6105,0.0649,0.6456,0.0613,0.5661,0.131,0.0178,0.7066
SVDB,28,161.9646,0.0962,0.5628,0.1071,0.642,0.0698,0.7028,0.1997,0.0028,0.7078
Exathlon,25,105.5676,0.9409,0.996,0.9506,0.997,0.3801,0.9357,0.8984,0.0459,0.9159
SMD,20,22.414,0.2977,0.7714,0.2882,0.801,0.1567,0.7589,0.44,0.013,0.7693
LTDB,4,65.8625,0.2013,0.5837,0.2478,0.6598,0.0572,0.5978,0.2836,0.0026,0.6586
TAO,11,15.3618,0.0877,0.5035,0.7435,0.8903,0.0386,0.0471,0.0401,0.0002,0.4604
