dataset,n_files,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,71.43,0.013,0.5002,0.021,0.4931,0.0078,0.1441,0.0127,0.0007,0.1248
PSM,1,338.28,0.1375,0.5736,0.1483,0.5404,0.004,0.3311,0.0462,0.0034,0.1178
Daphnet,1,17.18,0.0955,0.4663,0.0968,0.4817,0.081,0.8061,0.5085,0.0206,0.8588
Genesis,1,19.36,0.0024,0.388,0.0049,0.5936,0.0,0.0,0.0,0.0,
SWaT,2,859.255,0.3657,0.8085,0.3285,0.7343,0.0447,0.0732,0.1736,0.0242,0.1927
CreditCard,1,287.23,0.0057,0.8456,0.024,0.9132,0.0054,0.0054,0.0054,0.0,0.5853
GHL,23,212.0478,0.1047,0.6891,0.0959,0.6802,0.0456,0.2786,0.1965,0.0028,0.7183
OPP,7,400.7829,0.0809,0.499,0.0824,0.5035,0.0297,0.1255,0.0738,0.0162,0.8114
SMAP,25,5.4596,0.0377,0.4313,0.0376,0.4793,0.0218,0.4565,0.0973,0.0367,0.5529
MSL,14,1.4507,0.0719,0.4906,0.0924,0.5976,0.0211,0.2209,0.0368,0.0184,0.6731
MITDB,11,58.7373,0.076,0.5852,0.0597,0.6263,0.0521,0.5415,0.1516,0.0266,0.6779
SVDB,28,39.4825,0.1022,0.5954,0.1077,0.6566,0.0799,0.6715,0.2031,0.0028,0.7069
Exathlon,25,61.4292,0.7958,0.8663,0.7989,0.8698,0.2281,0.5141,0.5021,0.0415,0.7237
SMD,20,46.164,0.2781,0.7188,0.2375,0.7412,0.2509,0.6861,0.4562,0.0108,0.6307
LTDB,4,24.5975,0.2418,0.6457,0.277,0.7094,0.0828,0.6035,0.365,0.0026,0.6656
TAO,11,13.9436,1.0,1.0,0.9998,1.0,0.6843,0.6902,0.6874,0.0002,0.9447
