dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,57.02,0.1179,0.7584,0.1272,0.8474,0.0442,0.5546,0.1678,0.0009,0.2762
PSM,1,179.02,0.3909,0.568,0.4354,0.6099,0.002,0.8625,0.1636,0.0107,0.3877
Daphnet,26,23.2088,0.2784,0.6659,0.2965,0.6896,0.0382,0.7437,0.3725,0.0517,0.657
Genesis,1,23.47,0.003,0.4849,0.0241,0.7546,0.0,0.0,0.0,0.0,0.4649
SWaT,2,166.26,0.1604,0.4259,0.1841,0.4631,0.0075,0.061,0.1089,0.0321,0.3043
CreditCard,1,177.25,0.0021,0.5574,0.1352,0.9688,0.0051,0.0151,0.0052,0.0,0.4715
GHL,14,112.645,0.0114,0.246,0.0102,0.2998,0.0082,0.4409,0.015,0.0106,0.6489
OPP,13,55.8223,0.0136,0.3214,0.0141,0.3411,0.0046,0.4099,0.0086,0.0237,0.4236
SMAP,51,22.5763,0.1576,0.5347,0.1866,0.5737,0.0372,0.5386,0.2534,0.0664,0.579
MSL,26,34.8781,0.1504,0.6019,0.1913,0.6864,0.0291,0.6828,0.2449,0.1026,0.6675
MITDB,47,120.2819,0.161,0.5926,0.1798,0.6457,0.0348,0.6301,0.2193,0.0028,0.676
SVDB,78,53.1188,0.1862,0.6336,0.2433,0.7203,0.0518,0.7902,0.2526,0.0018,0.6999
Exathlon,30,37.387,0.3192,0.6413,0.3303,0.6713,0.0458,0.624,0.3901,0.102,0.6091
SMD,18,155.8522,0.2034,0.7477,0.2559,0.791,0.0409,0.733,0.1899,0.0125,0.7344
LTDB,4,21.055,0.2251,0.6031,0.2748,0.6742,0.0459,0.7414,0.2792,0.0026,0.6942
TAO,11,14.4509,0.0858,0.4963,0.7417,0.932,0.0415,0.0475,0.0442,0.0002,0.3061
