dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,7.69,0.1306,0.6932,0.0415,0.6253,0.1596,0.3252,0.0523,0.0009,0.0522
PSM,1,242.63,0.2756,0.3856,0.2953,0.3909,0.0,0.0,0.0,0.0,0.0014
Daphnet,26,3.2338,0.1576,0.4183,0.1656,0.436,0.0022,0.1421,0.064,0.0168,0.2935
Genesis,1,5.38,0.0645,0.962,0.5733,0.9904,0.1538,0.6047,0.2128,0.0123,0.8492
SWaT,2,392.4,0.677,0.8535,0.5022,0.7779,0.0,0.0,0.0,0.0,
CreditCard,1,453.88,0.0022,0.5414,0.0923,0.8593,0.0115,0.0145,0.0111,0.0,0.3
GHL,14,125.1707,0.0486,0.7272,0.0342,0.725,0.0341,0.039,0.0356,0.0016,0.4073
OPP,13,9.8185,0.5298,0.9496,0.5366,0.954,0.4355,0.8603,0.6346,0.0578,0.869
SMAP,51,4.672,0.3408,0.6796,0.3426,0.7013,0.0721,0.2007,0.1266,0.0218,0.5379
MSL,26,8.0846,0.2413,0.5737,0.2716,0.6413,0.0768,0.2557,0.2095,0.0508,0.7874
MITDB,47,124.9287,0.2017,0.654,0.2255,0.7005,0.0409,0.4025,0.2097,0.0026,0.5474
SVDB,78,40.4591,0.1921,0.6013,0.2403,0.6836,0.0419,0.548,0.2973,0.0018,0.5737
Exathlon,30,11.0993,0.3136,0.579,0.3191,0.5899,0.0341,0.2055,0.1573,0.0433,0.6366
SMD,18,32.7144,0.2738,0.7079,0.2205,0.7052,0.1514,0.3295,0.1521,0.013,0.3484
LTDB,4,15.8,0.2974,0.5801,0.3415,0.6392,0.039,0.5237,0.4444,0.0022,0.6513
TAO,11,13.6218,0.0844,0.4771,0.6614,0.8581,0.002,0.0024,0.0022,0.0001,0.0161
