model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
IForest,GECCO,mtsbench,GECCO/GECCO_water_quality,7.69,27560,83113,39,0.1305964702153334,0.6932193851956409,0.04148969628057756,0.6252687726222296,0.1596045197740113,0.32519280205655526,0.05233904585456224,0.0008510307300930195,0.052206183590197075
IForest,PSM,mtsbench,PSM/PSM,242.63,132481,70273,125,0.275646843990872,0.3856005975409676,0.29532928984715695,0.39087366215520375,0.0,0.0,0.0,0.0,0.001446081256755274
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,8.06,13796,58880,69,0.06588172612389546,0.4979304816716513,0.0719678645983598,0.5225646866752361,0.0,0.0,0.0,0.0,0.060176402436773926
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,2.47,5120,20480,58,0.18487876852824248,0.5730223596752276,0.19019682674212887,0.5882113897928523,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,6.41,12182,51968,62,0.0961424619946679,0.32545502491180084,0.09927918249168181,0.33082998950542447,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,3.26,9281,44032,38,0.10396047623725543,0.2565428728411951,0.0998105309003706,0.25091353655667387,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,3.07,4533,28672,54,0.1412731120134304,0.34803460326510915,0.14933874435117567,0.31304294457217385,0.0011376564277588168,0.5141649048625793,0.1463414634146337,0.02096924891011464,0.3017341996433782
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,5.19,3328,13312,150,0.23156422306947283,0.39836770418847467,0.23137459542067038,0.41298032057682954,0.0008669267446900737,0.36916548797736914,0.2857142857142854,0.03929298882877595,0.27570521661559827
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,1.85,3788,15872,64,0.045415796446116784,0.35337653547547265,0.0489993418368898,0.3758357233959177,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,1.81,2099,11674,73,0.11282535230711378,0.23296802087843363,0.1216578833638636,0.2573539595832135,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,1.27,1940,11264,63,0.16659993508867443,0.4161408009120707,0.17606367560021127,0.42736079837344826,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,1.35,1088,7680,67,0.45801831591175934,0.46894523106889724,0.4852982071950532,0.5080919221891211,0.001000250062515629,0.2496168162907817,0.051948051948051646,0.04640892089509146,0.18501830230430252
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,4.96,6726,28672,64,0.17338003250327916,0.29169332660199176,0.17960590071214283,0.30422569064522537,0.0,0.0,0.0,0.0,0.031407185699244694
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,3.63,6016,24064,66,0.2724382563233388,0.6086423618359889,0.28873904611552476,0.6305609850530363,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,5.22,10240,40960,65,0.13225911000704968,0.2882642031698542,0.13489459296137007,0.2935931273480763,0.0,0.0,0.0,0.0,0.1580767109849399
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,2.92,6144,24576,64,0.012814293762857499,0.6116747606300584,0.014728801831556282,0.6382185842400686,0.0,0.0,0.0,0.0,0.4809369242739344
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,1.91,5120,20480,65,0.022868851384267082,0.8816351011875144,0.029945293782351563,0.8860911398943541,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,10.47,14223,59392,81,0.05294698158175217,0.5055089381965502,0.0594253120566018,0.5384321002777247,0.0032145727297080095,0.2506453884064774,0.023622047244094387,0.011291460106760248,0.34149041516752365
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,3.91,5760,23040,78,0.03676692135219532,0.2795509659866965,0.04102829180440977,0.3055404773951481,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E0,1.1,2944,11776,63,0.16787609078679064,0.42554429241796327,0.16889765091826214,0.43399261677902146,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E1,1.17,1340,8192,67,0.349568425978769,0.30099240402113814,0.3637185785169425,0.3203686803180297,0.004055766793409379,0.6694829334234539,0.16326530612244872,0.13462746568788825,0.34943447328294097
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E2,1.14,2688,10752,65,0.1542267891584898,0.6862445733693902,0.1637486060008846,0.7033050982147517,0.0,0.0,0.0,0.0,0.021734761499110366
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E3,1.21,1499,8704,65,0.5306305173196301,0.4911074750367479,0.5515477627468773,0.5147111671878873,0.03432700993676603,0.8629653821032005,0.8201438848920859,0.15622898944821903,0.689855507527071
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E0,1.13,1920,7680,72,0.04399674130008919,0.5141481901990101,0.06452059894145053,0.6196525691560065,0.011695906432748537,0.7791741472172352,0.1739130434782606,0.02862296122262429,0.7147772792011376
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E1,1.49,1363,8704,67,0.34774827950986165,0.3422395330371896,0.36527026403293034,0.3640094329355012,0.0,0.0,0.0,0.0,0.20490170032604457
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E2,3.18,3592,28160,64,0.07577265910043586,0.07890052539826958,0.07758244051183946,0.08019844304209094,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E3,5.24,8915,36864,70,0.09503457323537558,0.39242794374972056,0.10228889264074047,0.3981469579776894,0.0,0.0,0.0,0.0,
IForest,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E4,0.66,1920,7680,67,0.023498498865271916,0.3052019315188762,0.025105630872101686,0.3188772873731591,0.0,0.0,0.0,0.0,
IForest,Genesis,mtsbench,Genesis/Genesis,5.38,3244,9332,125,0.06453932813756474,0.9619979118044466,0.5732653747391017,0.9904351431544569,0.15384615384615385,0.6046511627906976,0.2127659574468082,0.012253129875566041,0.849221769535831
IForest,SWaT,tsbad,SWaT/171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,29.68,3749,11247,125,0.512821074004515,0.8476949324463556,0.5279834891862111,0.8638265792608731,0.0,0.0,0.0,0.0,
IForest,CreditCard,mtsbench,CreditCard/creditcard,453.88,56804,170885,190,0.0021585885387772332,0.5414332216009785,0.09231539945100457,0.8593412878224662,0.011489850631941785,0.014531548757170172,0.011096726465692397,1.2946616378789412e-05,0.3000371860685143
