dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,13.23,0.2213,0.7592,0.0631,0.6384,0.2299,0.3196,0.1272,0.0009,0.2101
PSM,1,61.13,0.4175,0.4442,0.3251,0.3099,0.0,0.0,0.0,0.0,
Daphnet,26,2.7896,0.2527,0.5232,0.2566,0.5133,0.0045,0.029,0.0159,0.0023,0.2045
Genesis,1,1.72,0.5243,0.9976,0.8231,0.9994,0.4029,0.4029,0.4029,0.003,0.9391
SWaT,2,177.5,0.6618,0.8821,0.538,0.7862,0.41,0.4715,0.1566,0.0822,0.1704
CreditCard,1,337.7,0.0015,0.4934,0.0986,0.6356,0.0,0.0,0.0,0.0,0.0324
GHL,14,16.9379,0.108,0.8731,0.1211,0.8781,0.0833,0.193,0.1243,0.0041,0.551
OPP,13,1.5931,0.3771,0.8616,0.3877,0.8677,0.0,0.0,0.0,0.0,
SMAP,51,1.1427,0.3785,0.7003,0.3768,0.7116,0.127,0.2144,0.1895,0.0362,0.4987
MSL,26,1.2212,0.4413,0.7423,0.4598,0.7552,0.0995,0.1938,0.1817,0.0407,0.8405
MITDB,47,197.5187,0.2995,0.7337,0.3261,0.7527,0.0533,0.1368,0.0888,0.0034,0.3005
SVDB,78,52.8799,0.4407,0.7761,0.503,0.8103,0.1735,0.304,0.253,0.0017,0.3968
Exathlon,30,2.536,0.4025,0.6675,0.3797,0.6383,0.0881,0.2997,0.2753,0.074,0.5578
SMD,18,4.5133,0.3873,0.7846,0.3029,0.7159,0.2524,0.4088,0.2433,0.0205,0.444
LTDB,4,17.445,0.3434,0.5855,0.4077,0.6414,0.0924,0.1843,0.1528,0.0012,0.4065
TAO,11,13.4709,0.1392,0.6481,0.8469,0.9255,0.0,0.0,0.0,0.0,
