dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,5.61,0.1765,0.6809,0.0467,0.5462,0.2291,0.3313,0.129,0.0009,0.2066
PSM,1,127.43,0.2784,0.3781,0.2957,0.3235,0.0,0.0,0.0,0.0,
Daphnet,26,2.5185,0.1764,0.41,0.186,0.4086,0.0032,0.0546,0.0294,0.0074,0.141
Genesis,1,5.67,0.0706,0.9605,0.6209,0.9897,0.0,0.0,0.0,0.0,0.6021
SWaT,2,152.34,0.6,0.8516,0.4852,0.7456,0.0539,0.0669,0.1871,0.0816,0.2152
CreditCard,1,373.7,0.0075,0.5804,0.1033,0.6793,0.0217,0.0217,0.0207,0.0,0.1751
GHL,14,36.4964,0.0261,0.7544,0.0277,0.7451,0.0103,0.0304,0.0187,0.0014,0.4411
OPP,13,2.58,0.8411,0.9708,0.8352,0.9719,0.7739,0.8925,0.8889,0.2263,0.9792
SMAP,51,3.1976,0.357,0.688,0.3696,0.7051,0.1294,0.3931,0.3066,0.0687,0.5509
MSL,26,5.2946,0.2452,0.6808,0.2737,0.7099,0.0311,0.1146,0.1128,0.0278,0.5288
MITDB,47,95.4509,0.2065,0.6268,0.2327,0.6628,0.0518,0.1903,0.1315,0.0021,0.398
SVDB,78,35.8924,0.2037,0.5055,0.2365,0.5776,0.061,0.2615,0.1625,0.0013,0.365
Exathlon,30,7.024,0.3579,0.6408,0.3458,0.6137,0.0737,0.3295,0.2788,0.0834,0.5376
SMD,18,54.3689,0.4387,0.7885,0.3705,0.7469,0.2479,0.4509,0.2697,0.0229,0.3798
LTDB,4,15.0175,0.3934,0.6638,0.4175,0.7067,0.0767,0.1732,0.1521,0.0012,0.2925
TAO,11,13.6618,0.0825,0.4838,0.6573,0.8431,0.0088,0.0088,0.0093,0.0002,0.023
