model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
PCA,GECCO,mtsbench,GECCO/GECCO_water_quality,5.61,27560,83113,39,0.17650619235952966,0.68091838618437,0.04665336030736732,0.5462397247365194,0.2290836653386454,0.331299859221023,0.1290081331214356,0.0008693528564787573,0.2066276156944431
PCA,PSM,mtsbench,PSM/PSM,127.43,132481,70273,125,0.27838966800395043,0.3781008890987959,0.2957122057003873,0.32353071152729546,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,4.77,13796,58880,69,0.23786903059507664,0.6896530941844103,0.21224523971278528,0.6822358975078867,0.0399632521819017,0.47470956210902593,0.23513513513513484,0.01699440070289372,0.2881795353962103
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,2.68,5120,20480,58,0.43639781841483305,0.7366880196736747,0.45196762182081757,0.7553746886367585,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,4.3,12182,51968,62,0.10092694861758175,0.3454806076402859,0.10474806847664515,0.32982340238370733,0.0,0.0,0.0,0.0,0.05175519034419684
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,2.53,9281,44032,38,0.09349088465253667,0.230073017465361,0.10073648429960229,0.22988551677481978,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,3.11,4533,28672,54,0.16272871772838848,0.3857824343096563,0.1714348855552103,0.3046460653017965,0.0,0.0,0.0,0.0,0.06903573376361422
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,4.71,3328,13312,150,0.28187630127226027,0.3985277131026378,0.22741256861492803,0.3205455885563665,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,1.46,3788,15872,64,0.04605722701995891,0.3613966387026743,0.050591668248243384,0.36633376057151207,0.0,0.0,0.0,0.0,0.10933677555459057
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,2.2,2099,11674,73,0.13155803348770356,0.3562276502942544,0.14417374496999064,0.37304035984083045,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,1.61,1940,11264,63,0.17671049943548675,0.41820357044057466,0.18903781483897955,0.3919741858287938,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,1.68,1088,7680,67,0.44642069478371427,0.443588874991314,0.4784637847925816,0.48255789299074364,0.0,0.0,0.0,0.0,0.020601325481507057
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,3.81,6726,28672,64,0.1760293945132373,0.30043545823453,0.18810863013859097,0.3020586514598977,0.0,0.0,0.0,0.0,0.0037120265257094224
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,3.21,6016,24064,66,0.26058077113418165,0.6410698312798795,0.27669716989120247,0.6598736022156156,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,2.94,10240,40960,65,0.1308173186004955,0.26944201075771557,0.13733645577427908,0.26646257700302534,0.0,0.0,0.0,0.0,0.1565336374949037
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,1.38,6144,24576,64,0.012364814501789362,0.5936235381249274,0.01610352623467226,0.5693267658140605,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,1.4,5120,20480,65,0.003203463775858012,0.3166576574044839,0.0044091244829167625,0.31820639932460365,0.0,0.0,0.0,0.0,0.6300529693383476
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,5.56,14223,59392,81,0.06527677861432137,0.5738210309125706,0.07578237823972347,0.5877408358195607,0.0,0.0,0.0,0.0,0.06759786925541403
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,2.93,5760,23040,78,0.0386686061581502,0.3060326786679671,0.0455704434292156,0.2672991541360805,0.0,0.0,0.0,0.0,0.018705436332967153
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E0,1.31,2944,11776,63,0.16453029850700499,0.34743675892770587,0.16709110720693984,0.35085760431152413,0.0,0.0,0.0,0.0,0.08728428558968453
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E1,1.56,1340,8192,67,0.3476041417828843,0.2930727976029555,0.3630254252449181,0.29967832810034944,0.00979671809943669,0.3423092615259078,0.13333333333333294,0.022776714465134466,0.2093206863704954
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E2,1.39,2688,10752,65,0.15759486000324782,0.68342213606443,0.1690963106020384,0.6924021146402158,0.0,0.0,0.0,0.0,0.018819810668145275
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E3,1.53,1499,8704,65,0.520302127860907,0.4683810950884485,0.5524934527331322,0.4930519614675648,0.03363179733566281,0.6029480217222654,0.39588688946015377,0.15247770834080845,0.3627833299064015
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E0,1.47,1920,7680,72,0.0516932471493914,0.4270796204705529,0.10829120852221083,0.5331789299211379,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E1,1.98,1363,8704,67,0.35128146029366863,0.34424472628167985,0.3748038545938213,0.327770813102563,0.0,0.0,0.0,0.0,
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E2,1.8,3592,28160,64,0.07646172030939598,0.08317723783349927,0.08801138436580243,0.07950322052802215,0.0,0.0,0.0,0.0,0.02199659513169271
PCA,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E3,3.34,8915,36864,70,0.09431215983158045,0.3851578146890774,0.1140893701036621,0.36552926254802365,0.0,0.0,0.0,0.0,
