dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,16.3,0.018,0.5014,0.0244,0.4806,0.0135,0.1509,0.016,0.0008,0.1126
PSM,1,191.88,0.4706,0.6398,0.4565,0.6075,0.0291,0.4042,0.186,0.0105,0.1733
Daphnet,26,2.3123,0.2152,0.5083,0.2281,0.5354,0.0445,0.8506,0.3557,0.0519,0.7109
Genesis,1,2.84,0.0029,0.4821,0.0062,0.6617,0.0,0.0,0.0,0.0,
SWaT,2,64.18,0.2676,0.7133,0.2939,0.6666,0.0459,0.0849,0.1992,0.067,0.3321
CreditCard,1,142.76,0.0052,0.8615,0.0957,0.9739,0.0054,0.0054,0.0055,0.0,0.6174
GHL,14,96.2529,0.0876,0.671,0.0897,0.674,0.0122,0.0344,0.0267,0.0017,0.5103
OPP,13,12.5146,0.0217,0.5677,0.0241,0.5734,0.0014,0.1606,0.003,0.0084,0.39
SMAP,51,1.4912,0.1765,0.4872,0.1775,0.5198,0.033,0.4725,0.1099,0.069,0.4623
MSL,26,1.2127,0.1358,0.4923,0.1586,0.5863,0.0187,0.2148,0.0414,0.0233,0.6633
MITDB,47,103.2383,0.1743,0.5548,0.1926,0.6109,0.0499,0.6009,0.2788,0.0027,0.6975
SVDB,78,36.7754,0.183,0.5678,0.2207,0.6513,0.0675,0.7466,0.2844,0.0019,0.693
Exathlon,30,7.1277,0.3533,0.5758,0.3345,0.5518,0.0203,0.2351,0.1871,0.0612,0.7165
SMD,18,46.1044,0.2997,0.6729,0.2549,0.6783,0.2158,0.7148,0.3762,0.018,0.5622
LTDB,4,14.9525,0.2493,0.6386,0.2825,0.7025,0.0906,0.5861,0.3987,0.0027,0.6664
TAO,11,20.9891,1.0,1.0,0.9999,1.0,0.6908,0.6957,0.6933,0.0002,0.9529
