model,dataset,series,error,trace_tail
TimesFM,GECCO,GECCO/GECCO_water_quality,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,PSM,PSM/PSM,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,Daphnet,Daphnet/Daphnet_S01R01E1,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,Genesis,Genesis/Genesis,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,SWaT,SWaT/171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,CreditCard,CreditCard/creditcard,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,GHL,GHL/GHL_17_Lev_fault_Temp_corr_seed_57_vars_23,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,OPP,OPP/OPPORTUNITY_S1-ADL2,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,SMAP,SMAP/SMAP_A-1,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,MSL,MSL/MSL_C-1,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,MITDB,MITDB/MITDB_100,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,SVDB,SVDB/SVDB_800,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,Exathlon,Exathlon/Exathlon_10_2_1000000_67,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,SMD,SMD/SMD_machine-1-2,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,LTDB,LTDB/079_LTDB_id_1_Medical_tr_3618_1st_3718.csv,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
TimesFM,TAO,TAO/116_TAO_id_1_Environment_tr_500_1st_3.csv,TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies',TypeError: TimesFM_2p5_200M_torch.__init__() got an unexpected keyword argument 'proxies'
