dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,6.07,0.0212,0.4507,0.0217,0.4171,0.0151,0.1747,0.0216,0.0008,0.126
PSM,1,9.07,0.4175,0.4442,0.3251,0.3099,0.0,0.0,0.0,0.0,
Daphnet,1,2.55,0.1062,0.603,0.1189,0.6416,0.0532,0.8721,0.2006,0.0104,0.7741
Genesis,1,0.49,0.1812,0.5311,0.0892,0.6333,0.0,0.0,0.0,0.0,
SWaT,1,1.7,0.2427,0.6533,0.2728,0.6511,0.0,0.0,0.0,0.0,
CreditCard,1,64.36,0.0024,0.6632,0.0956,0.9668,0.0052,0.0052,0.0053,0.0,0.6187
GHL,1,1.35,0.0009,0.0039,0.0018,0.0045,0.0,0.0,0.0,0.0,
OPP,1,0.3,0.0244,0.5139,0.0264,0.517,0.0019,0.7582,0.0049,0.044,0.3487
SMAP,1,0.45,0.0212,0.4872,0.0271,0.5428,0.005,0.3534,0.0064,0.0188,0.6676
MSL,1,1.17,0.1963,0.5435,0.3156,0.6877,0.0,0.0,0.0,0.0,0.5703
MITDB,1,68.67,0.0242,0.5256,0.0285,0.6073,0.0138,0.6417,0.0566,0.0013,0.6602
SVDB,1,14.59,0.0411,0.4839,0.046,0.5625,0.001,0.0506,0.0488,0.0086,0.048
Exathlon,1,0.2,0.8919,0.7743,0.8916,0.7743,0.0737,1.0,1.0,0.3748,0.6061
SMD,1,0.35,0.5668,0.7955,0.609,0.8651,0.1547,0.5156,0.6667,0.0231,0.6631
LTDB,1,15.3,0.2672,0.6021,0.3141,0.6704,0.112,0.9189,0.4418,0.0026,0.7694
TAO,1,12.88,1.0,1.0,0.9999,1.0,0.9656,0.9679,0.9658,0.0002,0.9656
