dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,10.15,0.4766,0.9041,0.2585,0.8975,0.3095,0.5566,0.1943,0.0009,0.2288
PSM,1,87.05,0.7654,0.8706,0.7811,0.8818,0.002,0.8571,0.3811,0.0132,0.4045
Daphnet,26,4.8612,0.2462,0.5758,0.2623,0.604,0.0372,0.7628,0.3714,0.0513,0.6776
Genesis,1,5.08,0.0353,0.9397,0.0426,0.9454,0.0,0.0,0.0,0.0,0.4442
SWaT,2,33.96,0.5373,0.7805,0.5242,0.7844,0.0274,0.0678,0.1719,0.0418,0.3169
CreditCard,1,85.7,0.1021,0.9578,0.1653,0.99,0.1783,0.1783,0.1626,0.0,0.5677
GHL,14,45.1871,0.0627,0.8252,0.0712,0.8384,0.0143,0.0996,0.0407,0.0024,0.6093
OPP,13,4.49,0.0407,0.7616,0.0452,0.7642,0.0043,0.3587,0.0081,0.0204,0.4208
SMAP,51,2.7731,0.2042,0.655,0.2109,0.6893,0.0566,0.6261,0.2229,0.0673,0.5122
MSL,26,2.6808,0.1639,0.6092,0.1945,0.6831,0.0375,0.7221,0.2811,0.1052,0.6946
MITDB,47,149.0162,0.2768,0.6718,0.2875,0.7231,0.0905,0.5886,0.4407,0.0029,0.6709
SVDB,78,57.6285,0.3083,0.66,0.3488,0.742,0.1209,0.7662,0.5924,0.0019,0.7306
Exathlon,30,3.002,0.4396,0.7275,0.4545,0.7727,0.0348,0.6793,0.4202,0.1044,0.6471
SMD,18,12.0289,0.371,0.8297,0.4129,0.8768,0.1067,0.8742,0.68,0.0136,0.7999
LTDB,4,19.79,0.3024,0.6624,0.3488,0.7279,0.1003,0.7087,0.4822,0.0026,0.7408
TAO,11,14.6909,0.9981,0.9997,0.9988,0.9999,0.6499,0.6588,0.6542,0.0002,0.799
