model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
CNN,GECCO,mtsbench,GECCO/GECCO_water_quality,10.15,27560,83113,39,0.47660401953045217,0.9041406368845659,0.25854749259968496,0.8975064749906032,0.30950819672131147,0.5565509518477044,0.1943186496500616,0.0008697465223724475,0.22881997611054739
CNN,PSM,mtsbench,PSM/PSM,87.05,132481,70273,125,0.7654178515435748,0.8706469329297312,0.7811147453246856,0.8817836458182803,0.002039459099977832,0.8571138726857722,0.3811101905550949,0.013216487567559384,0.40446251818080453
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,5.22,13796,58880,69,0.13750167405406646,0.6805708864562119,0.15413990872749023,0.7191523595924516,0.06146016833039734,0.90150842945874,0.2936866718628212,0.010412661682450492,0.7905310061128523
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,5.6,5120,20480,58,0.3659773830200651,0.7012844677319592,0.38907524857334286,0.7285220383434761,0.11746680286006128,0.9558073654390935,0.681770061401651,0.03499460208154593,0.8222267602505008
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,9.65,12182,51968,62,0.20025179604036136,0.5646809130032359,0.208974391215238,0.5814976474147074,0.0774759410403216,0.9584213305174234,0.5027667984189719,0.018955468423875913,0.7405333133332536
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,7.14,9281,44032,38,0.3994540724782282,0.8466202181085758,0.4219393293390672,0.8615316363622524,0.08088235294117647,0.8374164810690423,0.5567813108371182,0.01745611377835523,0.7855471314159795
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,3.05,4533,28672,54,0.48887571058688506,0.8402969690753883,0.5128042551369653,0.8482700223091025,0.0015142911224682945,0.13132743362831859,0.08988764044943771,0.01484222480482233,0.30489260943328744
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,4.48,3328,13312,150,0.5697449704813374,0.8988865806697882,0.6274593113356534,0.9244812333683174,0.11755361397934869,0.9863130881094953,0.8222222222222216,0.052049759996993114,0.8668869398828487
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,5.26,3788,15872,64,0.05565026947206124,0.46098086247397596,0.06075598146690854,0.4883366492199013,0.0019398642095053346,0.4018619084561676,0.10526315789473652,0.026258958750029926,0.6476892635364244
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,3.82,2099,11674,73,0.4615091446215875,0.687202488334055,0.5177942751245811,0.737725206915892,0.05478180129990715,0.976301001710237,0.8261376896149353,0.044908730470205285,0.8412900414522396
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,1.45,1940,11264,63,0.1895685605088126,0.46500896382494855,0.19608845622974347,0.48223942003230774,0.0398406374501992,0.9631190727081138,0.4282655246252672,0.08000376459291705,0.7554763910949259
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,1.61,1088,7680,67,0.486611289097423,0.4995549450937218,0.5125114069271584,0.5359916777196594,0.02922238732045567,0.9945672773215414,0.7329192546583846,0.11052522311584685,0.7042959260103724
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,7.69,6726,28672,64,0.28384780636500906,0.47461723714012877,0.29927271708688186,0.49544339423875483,0.019184004323155902,0.9104555250055734,0.5370650529500751,0.032038510534689174,0.7779596526503881
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,3.16,6016,24064,66,0.168764413154788,0.35793336389774616,0.1772361308352015,0.37674254813115826,0.024122029088329194,0.9733665099990785,0.3628601921024543,0.046165196637181466,0.7374714169441295
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,6.81,10240,40960,65,0.15440486757411873,0.3800601109803416,0.15722458220864474,0.3862710468346007,0.00024755539051862855,0.4861319340329835,0.05882352941176438,0.029149194473879852,0.4413871549579921
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,5.99,6144,24576,64,0.018397069061405036,0.7139495162984549,0.021593651625516137,0.7408136071247649,0.014641288433382138,0.4084507042253521,0.023752969121140097,0.010595698830593716,0.7092695389542863
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,1.56,5120,20480,65,0.003780960875816374,0.4612786319586907,0.004536281553429285,0.4998878551538729,0.0,0.0,0.0,0.0,0.5255777969932329
CNN,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,15.39,14223,59392,81,0.09300749724630117,0.6024727058372071,0.10542841276379611,0.6441509913711275,0.0018275967103259215,0.39569576913670823,0.11650485436893157,0.006521954337806869,0.2630810065418017
