model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
FITS,GECCO,mtsbench,GECCO/GECCO_water_quality,57.02,27560,83113,39,0.11790500889282954,0.7584033558046903,0.12721041375635417,0.8474343345326869,0.04415011037527594,0.5546492659053833,0.1678321678321675,0.0008613866273168433,0.27623191334975444
FITS,PSM,mtsbench,PSM/PSM,179.02,132481,70273,125,0.3908948324314509,0.5679864705824094,0.4353781404630487,0.609851583124223,0.002037110845401001,0.8624593429313432,0.1635555555555552,0.010663532378222025,0.3877285688271775
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,24.3,13796,58880,69,0.13612463458315222,0.7353605804222559,0.15430985648697443,0.761442143358248,0.053224553224553224,0.8989233135574599,0.25257335996312774,0.010397459775128619,0.788329965112035
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,24.26,5120,20480,58,0.3281855956559688,0.7388252310199854,0.3404117567045218,0.7558643735815889,0.09577177789098319,0.9398752127056155,0.5603576751117729,0.03453309828656851,0.72344025969876
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,56.88,12182,51968,62,0.2643045210368833,0.7549750909097427,0.27671499577864583,0.7663338498527383,0.0833535844471446,0.9414843645148302,0.5129414471413777,0.018963149419476667,0.7259245246858413
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,42.92,9281,44032,38,0.3905649871178502,0.8549985687101637,0.4108684922333434,0.8703885658306726,0.07201587751630281,0.8057604495960661,0.49110595514307764,0.01737754880318778,0.7556026361512738
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,22.07,4533,28672,54,0.5328185464582351,0.8855870770488451,0.5571145815253465,0.8915959136271496,0.0026465028355387526,0.13123452423063317,0.10370370370370327,0.015115815034375656,0.3248786592971125
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,16.76,3328,13312,150,0.5638244080055798,0.9076220981096963,0.6344503642334256,0.9302277866524387,0.10391686650679456,0.9858914065840103,0.797546012269938,0.05183683837160283,0.8142329444038776
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,17.22,3788,15872,64,0.08835069388224931,0.6568163954011,0.09680481320726453,0.680085908794604,0.001949317738791423,0.40342679127725856,0.14285714285714246,0.0274655770009853,0.4124320842343107
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,10.47,2099,11674,73,0.521441712229636,0.9034882077740896,0.5821590343734808,0.9208365597457197,0.04797047970479705,0.9713174526008751,0.6995515695067258,0.04535363181410073,0.7864854795041739
FITS,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,9.53,1940,11264,63,0.23801394911523494,0.5698534770898527,0.2477927161312667,0.5665470068799011,0.0636292223095051,0.9621052631578947,0.525547445255474,0.0816753972467555,0.7709495242768654
