dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,10.25,0.2211,0.7462,0.0625,0.6208,0.2296,0.3193,0.1271,0.0009,0.2102
PSM,1,50.26,0.4175,0.4442,0.3251,0.3099,0.0,0.0,0.0,0.0,
Daphnet,1,5.02,0.2752,0.6351,0.2648,0.661,0.0,0.0,0.0,0.0,
Genesis,1,1.38,0.4976,0.9977,0.8391,0.9995,0.3862,0.3862,0.3862,0.09,0.9565
SWaT,1,4.8,0.4919,0.8546,0.5308,0.8244,0.0706,0.1088,0.2348,0.1362,0.2658
CreditCard,1,349.82,0.0015,0.4929,0.0989,0.635,0.0,0.0,0.0,0.0,0.0325
GHL,1,19.9,0.0048,0.8308,0.0069,0.8591,0.0,0.0,0.0,0.0,0.8533
OPP,1,1.76,0.0269,0.4725,0.034,0.4787,0.0,0.0,0.0,0.0,
SMAP,1,1.57,0.0102,0.5393,0.0134,0.5681,0.0,0.0,0.0,0.0,
MSL,1,2.87,0.4673,0.7393,0.5819,0.7755,0.0,0.0,0.0,0.0,
MITDB,1,200.72,0.0254,0.5582,0.0341,0.5951,0.0343,0.0974,0.0587,0.0013,0.2465
SVDB,1,38.84,0.0966,0.6464,0.1265,0.7248,0.0884,0.5538,0.3075,0.0019,0.5558
Exathlon,1,0.44,1.0,1.0,1.0,1.0,0.1388,1.0,1.0,0.4123,0.6434
SMD,1,1.82,0.893,0.9964,0.9306,0.9979,0.7447,0.7579,0.6462,0.0244,0.666
LTDB,1,18.51,0.4958,0.7886,0.6272,0.8941,0.1951,0.4121,0.3211,0.0026,0.282
TAO,1,12.71,0.0757,0.6242,0.8738,0.9213,0.0,0.0,0.0,0.0,
