dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,40.3,0.5317,0.9061,0.424,0.9467,0.2478,0.555,0.1936,0.0009,0.2636
PSM,1,213.49,0.6526,0.8067,0.6798,0.8308,0.002,0.8571,0.3811,0.0132,0.4045
Daphnet,26,6.9423,0.2294,0.5313,0.2424,0.5558,0.0349,0.7652,0.3712,0.0512,0.6692
Genesis,1,5.76,0.0178,0.9107,0.0234,0.9163,0.0,0.0,0.0,0.0,0.4442
SWaT,2,54.06,0.5512,0.8153,0.5561,0.8256,0.0333,0.0678,0.178,0.0424,0.3353
CreditCard,1,82.28,0.1016,0.9577,0.1651,0.99,0.1783,0.1783,0.1626,0.0,0.5677
GHL,14,106.7321,0.0272,0.6773,0.0351,0.6988,0.0,0.0,0.0,0.0,0.618
OPP,13,7.4069,0.0492,0.8033,0.055,0.8054,0.004,0.3609,0.0077,0.0204,0.4287
SMAP,49,3.9227,0.1871,0.5905,0.188,0.633,0.0292,0.6348,0.2084,0.0741,0.5108
MSL,25,3.574,0.1694,0.5952,0.1984,0.6685,0.0397,0.7539,0.3015,0.1122,0.7154
MITDB,47,162.7874,0.1974,0.5952,0.2134,0.652,0.0413,0.5283,0.3759,0.0028,0.5841
SVDB,78,74.3346,0.2476,0.6088,0.2882,0.6948,0.0867,0.7642,0.547,0.0019,0.7165
Exathlon,21,7.5233,0.3238,0.6966,0.3502,0.7475,0.0218,0.6209,0.319,0.0582,0.6434
SMD,18,22.9194,0.3589,0.8077,0.392,0.8564,0.1068,0.8481,0.6762,0.0137,0.7928
LTDB,2,19.745,0.2786,0.7732,0.31,0.8194,0.1127,0.7773,0.5504,0.0022,0.8359
TAO,0,,,,,,,,,,
