model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
LSTMAD,GECCO,mtsbench,GECCO/GECCO_water_quality,40.3,27560,83113,39,0.5316704683634764,0.9060650545967854,0.4239739157885175,0.9467239235946021,0.24779959377115776,0.5549972082635399,0.19357397857992845,0.000867771056601007,0.2635996332422923
LSTMAD,PSM,mtsbench,PSM/PSM,213.49,132481,70273,125,0.6525709005578834,0.8067323602604529,0.6797741837902747,0.8307936276199047,0.002039459099977832,0.8571138726857722,0.3811101905550949,0.013216487567559384,0.40446251818080453
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,6.52,13796,58880,69,0.11428287135306761,0.6041067443394463,0.12753706823332356,0.6402308480602973,0.05431119920713578,0.9059295586268391,0.2790697674418602,0.010409312328846801,0.7847268944283992
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,9.27,5120,20480,58,0.35228477014131243,0.6953257150807717,0.37197690006095013,0.7215997713484137,0.11614875191034131,0.9452367370222475,0.6238030095759228,0.0346168599277472,0.7916238599135776
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,13.46,12182,51968,62,0.1958888684251164,0.5618586645270907,0.20443143524543364,0.5797887697101476,0.07244626901714561,0.9526995998163091,0.45454545454545414,0.01878497141429815,0.7246862588525793
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,7.83,9281,44032,38,0.40779362879102143,0.865227964645767,0.4297199517408967,0.8777405367299189,0.0617461229178633,0.9538866930171278,0.5214227970897327,0.017474756302700917,0.8137390558019166
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,9.16,4533,28672,54,0.34080437370781147,0.5879566528863092,0.3442236200698336,0.5728405750147291,0.0015177385695313982,0.13160695282014898,0.10389610389610347,0.01484222480482233,0.2964960445995006
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,2.92,3328,13312,150,0.5304146965328959,0.8910677358198845,0.5856314723028482,0.9186192076985744,0.11261980830670927,0.9877918183765261,0.8318584070796455,0.05227773766817185,0.8612607617227128
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,6.39,3788,15872,64,0.05815549420688298,0.46485979974686126,0.0619701351307903,0.49040305391868155,0.0019569471624266144,0.4046875,0.19999999999999954,0.026258958750029926,0.49920445928846374
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,4.45,2099,11674,73,0.24109737465043113,0.3955350449399464,0.2636528835842602,0.4297711789277886,0.05545286506469501,0.9741589468551926,0.7792207792207787,0.045051088673026866,0.8241165455851029
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,1.6,1940,11264,63,0.19033914030178686,0.46552688967848793,0.20425795147099945,0.45354069285100707,0.040702314445331206,0.9641350210970464,0.44203683640303315,0.0800217061840539,0.7575553859598726
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,2.76,1088,7680,67,0.49117432636876585,0.4987966179491522,0.5164858420858988,0.5340246080556372,0.03214638971315529,0.9945672773215414,0.7514450867052018,0.11069357379381675,0.7341244584588579
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,12.8,6726,28672,64,0.26253095821162875,0.41260612926619,0.275535233559071,0.4317617488344517,0.017593720395182026,0.9022781774580336,0.5349794238683122,0.033645070837251524,0.7783615773903496
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,3.43,6016,24064,66,0.17313981134244566,0.3606043286299432,0.18230528015952058,0.38010347764028124,0.026543974517784463,0.9728285898498664,0.37926675094816653,0.04619211574176408,0.7457421701991928
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,11.13,10240,40960,65,0.158638003387493,0.3696311865635011,0.16156890208685096,0.37630513302433527,0.0002476166893648632,0.48622305529522025,0.06249999999999966,0.031047680077053816,0.44342876050302416
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,9.45,6144,24576,64,0.01736314422461673,0.6874661911135422,0.020443323038014712,0.7177730304978297,0.019580419580419582,0.3945578231292517,0.030634573304157493,0.010642674677082067,0.7154607831909495
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,1.68,5120,20480,65,0.00245047420357758,0.14513728517593408,0.0027756060277085368,0.16286639025076793,0.0,0.0,0.0,0.0,0.5276615268229204
