dataset,n_series,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,235.46,0.114,0.6949,0.0543,0.6748,0.1926,0.4658,0.1399,0.0009,0.2779
PSM,1,1145.26,0.5335,0.7267,0.551,0.7218,0.0016,0.8628,0.1694,0.0107,0.3332
Daphnet,26,46.1169,0.2291,0.547,0.2443,0.5748,0.0335,0.7558,0.3592,0.0513,0.6575
Genesis,1,22.37,0.004,0.6247,0.0077,0.7429,0.0,0.0,0.0,0.0,0.4381
SWaT,2,132.53,0.4381,0.7497,0.4514,0.7414,0.0097,0.0662,0.0963,0.0294,0.3461
CreditCard,1,553.32,0.0021,0.5895,0.1304,0.9692,0.0051,0.0152,0.0052,0.0,0.476
GHL,14,995.5893,0.0546,0.7151,0.0262,0.7306,0.039,0.3549,0.0749,0.0047,0.5777
OPP,13,45.3454,0.0495,0.8028,0.0552,0.8071,0.0042,0.3569,0.0079,0.0208,0.4127
SMAP,51,22.3402,0.1599,0.583,0.1704,0.6358,0.0112,0.3401,0.1165,0.0549,0.5183
MSL,26,19.2315,0.144,0.5415,0.1809,0.6555,0.0225,0.6609,0.2347,0.0997,0.6746
MITDB,47,1174.7198,0.1701,0.5837,0.1888,0.6398,0.0491,0.5973,0.2574,0.0028,0.6907
SVDB,78,436.1482,0.161,0.5327,0.2157,0.6356,0.0569,0.7698,0.2679,0.0019,0.6908
Exathlon,30,35.5193,0.4272,0.7357,0.4279,0.7547,0.032,0.5679,0.3634,0.0977,0.5356
SMD,18,201.8717,0.2036,0.6905,0.2038,0.7009,0.0456,0.7214,0.1713,0.011,0.7424
LTDB,4,60.555,0.1989,0.5592,0.2492,0.6371,0.0568,0.6104,0.292,0.0027,0.6648
TAO,11,15.2664,0.0865,0.5006,0.7258,0.8923,0.0347,0.0387,0.0361,0.0002,0.3925
