model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
OmniAnomaly,GECCO,mtsbench,GECCO/GECCO_water_quality,273.24,27560,83113,39,0.11411973512083223,0.697257685771056,0.054732742239884426,0.6771629434105721,0.1926489226869455,0.4658418504572351,0.13985585032970382,0.0008642220361933723,0.2778561187949661
OmniAnomaly,PSM,mtsbench,PSM/PSM,1299.99,132481,70273,125,0.5348895318299727,0.7276716773329952,0.5519595835774319,0.7217777004207779,0.001595673950622756,0.8627856530293094,0.16941176470588207,0.010662186768385554,0.33320514407551466
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,129.38,13796,58880,69,0.10232703179930196,0.5641153396517635,0.1179686062491228,0.6052642197989113,0.053003533568904596,0.9040883977900552,0.2625182304326686,0.010396897481112223,0.7897813976739976
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,45.82,5120,20480,58,0.23389191894239197,0.5774537473189847,0.24199954216850594,0.598718642037195,0.07753124203009436,0.9357616829027249,0.49673202614379025,0.03418435997960776,0.713870635639226
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,125.89,12182,51968,62,0.17872254610311125,0.543680467644278,0.1891952175245526,0.5633174744946912,0.0649176327028676,0.9388383297644539,0.4362581214912001,0.018935437520892696,0.7210056894662147
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,93.73,9281,44032,38,0.3631153087883802,0.8187547413441434,0.38341115221108485,0.8369337531612178,0.06705497940048302,0.7939012498891942,0.4764789016757515,0.01737832560714316,0.7405548750119134
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,43.84,4533,28672,54,0.4703286097385383,0.7474448095395274,0.4928887751811119,0.7651320194785004,0.0026500094643195156,0.13139720205418806,0.10937499999999958,0.015115815034375656,0.31910930987394936
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,35.3,3328,13312,150,0.46327291933275544,0.7507204341273128,0.5432400906076286,0.8196343057553723,0.10815109343936381,0.984418356456777,0.7884057971014488,0.05186406908370759,0.8020251263669014
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,34.61,3788,15872,64,0.05783408790292452,0.4681812194971994,0.06268775737870216,0.49791064407352476,0.001951219512195122,0.40374123148869834,0.1538461538461534,0.0274655770009853,0.509871403698361
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,20.43,2099,11674,73,0.32347391692041216,0.5675217183015026,0.373091610394695,0.6133149305921677,0.043357933579335796,0.9701383831026948,0.6581096849474907,0.04526782613441146,0.7731173937408006
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,13.13,1940,11264,63,0.18817347537754045,0.45231800800696503,0.19777846122495732,0.46122540459833966,0.04467491025129637,0.9649493243243243,0.4705882352941172,0.08047316622038725,0.7668688509314404
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,3.22,1088,7680,67,0.4707252103079839,0.4801392594004065,0.4958799704066391,0.5173682186921169,0.02825979176995538,0.88848518725545,0.6930091185410329,0.1056900944049877,0.6738304909464862
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,71.35,6726,28672,64,0.2726199920210037,0.43358472399323916,0.2894157242664727,0.45465233207970895,0.025326687323184695,0.9415077989601387,0.6358511837655011,0.03262682021584915,0.808527407388283
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,63.94,6016,24064,66,0.18031233785598777,0.3889763960939817,0.19087479499633597,0.41116478179128313,0.027358322970332208,0.9803489439853076,0.41847826086956486,0.04667627150625375,0.7477755016670918
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,130.49,10240,40960,65,0.14809732892699004,0.36085526957358904,0.15221059832225903,0.37072537390486515,0.00024755539051862855,0.4861319340329835,0.05882352941176438,0.029083968920245153,0.43762399878102076
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,84.44,6144,24576,64,0.0141014058932565,0.6415695310382217,0.01642930481594118,0.6775404517509652,0.005563282336578581,0.39057239057239057,0.0088691796008869,0.0105425458510448,0.6555641057136083
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,62.78,5120,20480,65,0.004470457411137368,0.530704502261683,0.005217099290070875,0.5489480370439701,0.0,0.0,0.0,0.0,0.5539949989879763
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,185.7,14223,59392,81,0.06257139638293951,0.49314208050585995,0.07469089205049459,0.539981220333098,0.000609942055504727,0.3159517081941947,0.04878048780487762,0.005971363042480299,0.253389245577675
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,84.95,5760,23040,78,0.042097105536604784,0.3563812150783383,0.04819375920141832,0.40688387031675405,0.002967359050445104,0.40047534165181226,0.14814814814814767,0.01733347796929355,0.3822785304332523
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E0,39.83,2944,11776,63,0.12721789622963897,0.2754445392400998,0.1292970723424794,0.28360661787869607,0.025447316103379723,0.9413771050948625,0.1887905604719762,0.14018426395808434,0.5687320004835033
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E1,19.84,1340,8192,67,0.3958599881960351,0.38902917533515513,0.4098965108794568,0.4090648390745912,0.026713709677419355,0.9931850327889932,0.6708860759493666,0.14496146663449494,0.7410006221620746
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E2,34.83,2688,10752,65,0.1250256533433565,0.5978832986666097,0.13355403374114402,0.6287208575668832,0.0438871473354232,0.918075422626788,0.22857142857142837,0.06485122290836196,0.7379032012428303
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E3,20.95,1499,8704,65,0.48170827416084644,0.4523333882440401,0.49900930206819094,0.4736697939748721,0.023508137432188065,0.9967875172097292,0.7878787878787874,0.17323464074986625,0.8293041608271166
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E0,26.24,1920,7680,72,0.04288571827931126,0.5156406295303939,0.051646256052711864,0.5809706716642026,0.016771488469601678,0.6289855072463768,0.04938271604938262,0.019371098304593052,0.6856674433950026
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E1,18.82,1363,8704,67,0.35978875599916643,0.3758863655872443,0.37446437804781113,0.40117165125467524,0.019827147941026944,0.96326856534469,0.4411764705882349,0.09561303996848036,0.6510276731360091
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E2,57.66,3592,28160,64,0.47539163849535293,0.9248393669493535,0.4895753407198743,0.9278113151991553,0.007183170856849667,0.9689408016989647,0.333333333333333,0.06812980334654128,0.760934509918698
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E3,113.45,8915,36864,70,0.22562490632234208,0.6482260471754877,0.23779939220203966,0.6755424776452812,0.04740313272877164,0.9622083470259613,0.4744441897776755,0.023021723400323726,0.7822405503069553
OmniAnomaly,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E4,23.92,1920,7680,67,0.08599615835875664,0.7311464466657538,0.09283628580136313,0.7654289933196678,0.10498687664041995,0.8521462639109698,0.3007518796992478,0.05440745899542341,0.7286823717841817
