model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
RobustPCA,GECCO,mtsbench,GECCO/GECCO_water_quality,16.3,27560,83113,39,0.018031530893944457,0.501396919139287,0.024389639688818354,0.48061093782967373,0.013452914798206279,0.15086463923673227,0.01603053435114462,0.0008096776982215355,0.11260363840506867
RobustPCA,PSM,mtsbench,PSM/PSM,191.88,132481,70273,125,0.47055583381527105,0.6398226751183235,0.4565140046125039,0.6075059897490308,0.02905145257262863,0.40419426830564315,0.18604651162790678,0.01045400599973306,0.17325216690743128
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,5.4,13796,58880,69,0.07841035790707175,0.44916067984408614,0.08711860995026832,0.4813780118057401,0.05391804457225018,0.8692564745196324,0.19966211027491917,0.010435987007039849,0.7707750455387066
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,2.43,5120,20480,58,0.23428969362025215,0.6078408118918442,0.24982242059454476,0.6345509176663844,0.079476861167002,0.9293325855300056,0.4674556213017746,0.03421725756170514,0.7781670793887958
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,4.94,12182,51968,62,0.1812770142722935,0.549133567558608,0.18829435519384288,0.5653481653128075,0.06685945633314054,0.9298841006595376,0.3456937799043059,0.019113331697622183,0.6911620828038628
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,3.51,9281,44032,38,0.24597442787093413,0.5298773663353314,0.26270712017035447,0.5488344266897999,0.10014886994180539,0.9537154356413505,0.5450527866437511,0.017636699211653655,0.810607560292067
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,2.76,4533,28672,54,0.28814933377760066,0.4727607466917752,0.2853170935732252,0.44280394602064543,0.08346539883782356,0.9572715079517149,0.6395897989475099,0.02614211995061167,0.684602561424607
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,2.58,3328,13312,150,0.3811189593105515,0.5713872225179075,0.4322747618352905,0.6247556611178079,0.13747572815533982,0.9804421768707483,0.7937219730941699,0.05218626332698402,0.8214858888852314
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,1.47,3788,15872,64,0.05896973842281821,0.47661725795987947,0.06379906659407983,0.5099412894715026,0.029580936729663106,0.9173814898419864,0.16438356164383544,0.029801583651211473,0.619409169052856
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,1.42,2099,11674,73,0.4916786535061018,0.83909469660525,0.5398812600263416,0.8660178931725415,0.08633733867378728,0.9633558341369335,0.6924449732302196,0.04535589715399773,0.8076641577361413
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,0.98,1940,11264,63,0.19808799056796467,0.4791651008415337,0.20484444772106472,0.4995223273961516,0.037412314886983634,0.9409043112513144,0.3127035830618889,0.07329978790245699,0.7411075327931094
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,1.08,1088,7680,67,0.5558596544506406,0.5950189001589535,0.5856484296154038,0.6330516547695693,0.041237113402061855,0.9931869795609387,0.7567567567567562,0.1111887006339814,0.7686561590142628
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,3.56,6726,28672,64,0.39440952321922146,0.6918021806852077,0.416694700119125,0.7145979166201707,0.05574280528908478,0.9821513403461147,0.6213872832369938,0.03324125193584098,0.8345436077060159
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,3.13,6016,24064,66,0.30127483312045955,0.6879679175306677,0.32078597716049834,0.7094936793572229,0.035537331283102686,0.957570262919311,0.33047346679377154,0.04584607336017641,0.742629762632863
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,4.04,10240,40960,65,0.14943224490120105,0.3733195296272539,0.15244771719105313,0.38006371372936154,0.0021996822681168275,0.4986683809348884,0.11076923076923047,0.03851966344871897,0.4410164740491846
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,1.82,6144,24576,64,0.015183056004529186,0.6200604233628937,0.018732805314055266,0.6896523534610666,0.006211180124223602,0.4404858299595142,0.008608321377331411,0.010782219234132476,0.6417729548241479
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,1.5,5120,20480,65,0.004430996698847681,0.5307389413373051,0.00504049889802491,0.5446571111018182,0.0,0.0,0.0,0.0,0.472577282545081
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,6.04,14223,59392,81,0.07264300307813101,0.5240743290209922,0.0812396655957129,0.5642268409942094,0.023678891134854173,0.9211853720050441,0.31483420593368205,0.00823173706553033,0.8040327048871803
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,2.36,5760,23040,78,0.047281101768184564,0.40918097725839936,0.053541635124931465,0.45401539803120883,0.022857142857142857,0.7544,0.1313868613138684,0.013602601021946454,0.6698514646440528
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E0,0.66,2944,11776,63,0.1529505604718176,0.4303347548894867,0.15631197039876718,0.44052119841123905,0.014705882352941176,0.9521345407503234,0.1395348837209301,0.13711239781785856,0.6636186221282456
RobustPCA,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E1,0.89,1340,8192,67,0.4365051659354532,0.4952571400927601,0.44782350831839074,0.5105028005606302,0.01288723667905824,0.9813238470334138,0.2626262626262623,0.14290246216654098,0.5738204930641219
