score_method,agg_method,AUROC,AUPRC,VUS-ROC,VUS-PR,file_name,context_length,horizon
mse,l2,0.7765447480013729,0.5915765667523736,0.7162114352290364,0.47230756168917787,SMD_machine-1-2_test,512,128
mse,max,0.765991217229618,0.45323271501192963,0.704894579700309,0.38931273588979776,SMD_machine-1-2_test,512,128
mse,mean,0.7767282985991067,0.5303258046151228,0.7182765812451952,0.4256938882485449,SMD_machine-1-2_test,512,128
mse,topk_mean,0.776711955052733,0.6225344609856196,0.7164431935481262,0.4736894715723388,SMD_machine-1-2_test,512,128
smape,l2,0.8572982106331113,0.3036054135918962,0.817577351371055,0.20630166688567722,SMD_machine-1-2_test,512,128
smape,max,0.4254124545366542,0.030211574424476976,0.46036946017298713,0.053359989048351424,SMD_machine-1-2_test,512,128
smape,mean,0.8303653034053665,0.30239402267301607,0.7834520581520398,0.2140278915602271,SMD_machine-1-2_test,512,128
smape,topk_mean,0.5795496975815323,0.04528278408687868,0.6246299779664447,0.06462230355460828,SMD_machine-1-2_test,512,128
interval,l2,0.7741271603339616,0.4303648894991514,0.7124300669007022,0.36531271159295636,SMD_machine-1-2_test,512,128
interval,max,0.7590445814229194,0.3532239403027303,0.7001206029909682,0.3197357596523668,SMD_machine-1-2_test,512,128
interval,mean,0.773341412912156,0.36124399364364906,0.7140861678758648,0.32390312606371097,SMD_machine-1-2_test,512,128
interval,topk_mean,0.7776887962475219,0.603910065399905,0.7164146449391755,0.4509938186157895,SMD_machine-1-2_test,512,128
normalized_deviation,l2,0.7745445493644246,0.385126896091704,0.7143438078746628,0.33514011240917635,SMD_machine-1-2_test,512,128
normalized_deviation,max,0.7637024921393827,0.4840093173501872,0.7059285440440553,0.3842459108772256,SMD_machine-1-2_test,512,128
normalized_deviation,mean,0.7775442187219097,0.38055932430458167,0.7182050637519968,0.3406346524577318,SMD_machine-1-2_test,512,128
normalized_deviation,topk_mean,0.7762178770739019,0.5214552678310411,0.7146190068457166,0.3939132646791002,SMD_machine-1-2_test,512,128
mse,l2,0.7700896421405973,0.1883878401586591,0.8446738126692012,0.23215433232602606,SMD_machine-1-3_test,512,128
mse,max,0.7419184821298818,0.11570511691697238,0.8130689233298759,0.1646267236624916,SMD_machine-1-3_test,512,128
mse,mean,0.769211832637913,0.19161919916609196,0.8497220859940869,0.23702242285716502,SMD_machine-1-3_test,512,128
mse,topk_mean,0.7703911058709458,0.15891606630885563,0.8463555447245082,0.22928010086159464,SMD_machine-1-3_test,512,128
smape,l2,0.5548586085529581,0.10408031330729367,0.670979223385458,0.10721499211614535,SMD_machine-1-3_test,512,128
smape,max,0.532285089410318,0.06798069669521456,0.6130308751877308,0.0885763985148184,SMD_machine-1-3_test,512,128
smape,mean,0.5775250927833124,0.1105970425786659,0.687807431220248,0.10194109456307729,SMD_machine-1-3_test,512,128
smape,topk_mean,0.544584101393041,0.10212294751401849,0.6349947354009062,0.09019805703689392,SMD_machine-1-3_test,512,128
interval,l2,0.7151278701967526,0.1701801416835653,0.8198664819816417,0.20083257794324788,SMD_machine-1-3_test,512,128
interval,max,0.7143912316500184,0.11264742300105868,0.8207123252567962,0.18187699383705266,SMD_machine-1-3_test,512,128
interval,mean,0.706213797794277,0.16021823492887605,0.810018885440448,0.1790894967637797,SMD_machine-1-3_test,512,128
interval,topk_mean,0.7163082765745825,0.13364978456299986,0.824030374576954,0.2230488376958729,SMD_machine-1-3_test,512,128
normalized_deviation,l2,0.6710757330715014,0.15058260910670665,0.7773524424891738,0.15263427481791056,SMD_machine-1-3_test,512,128
normalized_deviation,max,0.6897246996387251,0.16263055174121938,0.8055746118326081,0.23952171720460594,SMD_machine-1-3_test,512,128
normalized_deviation,mean,0.6510936688650619,0.14244863180616196,0.7566519106799258,0.1399768804829483,SMD_machine-1-3_test,512,128
normalized_deviation,topk_mean,0.6834159159818458,0.15666749484601655,0.7924060208687579,0.18427775290316312,SMD_machine-1-3_test,512,128
mse,l2,0.7778920035632382,0.2018582624281129,0.8510861935251468,0.1945940270330248,SMD_machine-1-4_test,512,128
mse,max,0.7919334356816587,0.11960448746401345,0.8693333098031829,0.19398126960002063,SMD_machine-1-4_test,512,128
mse,mean,0.7226989632493698,0.1756278056451301,0.7743897196645316,0.15388038906408902,SMD_machine-1-4_test,512,128
mse,topk_mean,0.773828648686214,0.13569005940694434,0.8399622016786799,0.18779222835854686,SMD_machine-1-4_test,512,128
smape,l2,0.7314551783830229,0.14442894212026097,0.7566946968954699,0.1281294544484326,SMD_machine-1-4_test,512,128
smape,max,0.5873378695122028,0.07069755116314158,0.667016655185445,0.11002326392105946,SMD_machine-1-4_test,512,128
smape,mean,0.6159921153882603,0.13142977915996285,0.6302777739313642,0.10481136634821074,SMD_machine-1-4_test,512,128
smape,topk_mean,0.7537999658838915,0.1585592002419829,0.7654845143094153,0.13719744028021358,SMD_machine-1-4_test,512,128
interval,l2,0.8109740148973674,0.20314287043355722,0.8629993198514542,0.20001503763331982,SMD_machine-1-4_test,512,128
interval,max,0.8229379023647516,0.13622036288833486,0.8749305023503199,0.21623833365629255,SMD_machine-1-4_test,512,128
interval,mean,0.7728145157723824,0.1841061459449947,0.8247166154618579,0.16931719117227936,SMD_machine-1-4_test,512,128
interval,topk_mean,0.8021050902497425,0.15440086115642865,0.8629520716561939,0.2060532311607325,SMD_machine-1-4_test,512,128
normalized_deviation,l2,0.6840403580927833,0.16386929767462263,0.7701485629895142,0.13717257609724456,SMD_machine-1-4_test,512,128
normalized_deviation,max,0.7350474782509808,0.1259751277981916,0.8466538251703543,0.1950774999645502,SMD_machine-1-4_test,512,128
normalized_deviation,mean,0.579108811432687,0.14775244944382035,0.6147726733856294,0.11056445181852187,SMD_machine-1-4_test,512,128
normalized_deviation,topk_mean,0.7072207375397233,0.14947951165886167,0.7906156658103712,0.15602601129818033,SMD_machine-1-4_test,512,128
mse,l2,0.7512279285282993,0.36549338181642776,0.7567584847253932,0.402312518815423,SMD_machine-1-6_test,512,128
mse,max,0.7406767891719913,0.30860396564717785,0.7576888700652622,0.38353307128583525,SMD_machine-1-6_test,512,128
mse,mean,0.762669797936185,0.378318007132551,0.7469940355499636,0.40395744120236077,SMD_machine-1-6_test,512,128
mse,topk_mean,0.7665290374392755,0.37345923384471336,0.7686612678765992,0.41890774005471365,SMD_machine-1-6_test,512,128
smape,l2,0.4402363314398687,0.1521259351966485,0.5103224340137964,0.22115069032569604,SMD_machine-1-6_test,512,128
smape,max,0.33770694761276343,0.12793474654375372,0.4514619897727161,0.19121189912410871,SMD_machine-1-6_test,512,128
smape,mean,0.5026627817706496,0.17256177498068737,0.5480447394795899,0.24144811653374093,SMD_machine-1-6_test,512,128
smape,topk_mean,0.44096586451082653,0.1483171023347409,0.5073575200043159,0.21620814233685565,SMD_machine-1-6_test,512,128
interval,l2,0.6328413256212061,0.2696276773268681,0.669271615724608,0.322256040030603,SMD_machine-1-6_test,512,128
interval,max,0.6318664378229067,0.23797571960884784,0.6637168782917324,0.3033155787882346,SMD_machine-1-6_test,512,128
interval,mean,0.6172901727247898,0.26348988467645307,0.662301039825655,0.31677876743902655,SMD_machine-1-6_test,512,128
interval,topk_mean,0.6276511233391564,0.27075571481888083,0.6682178915956262,0.3255355367778884,SMD_machine-1-6_test,512,128
normalized_deviation,l2,0.5033664890761991,0.18576481350861468,0.5868589307140177,0.2575630456470155,SMD_machine-1-6_test,512,128
normalized_deviation,max,0.4934132351054229,0.16745340239726098,0.5783402409639272,0.23715127188073518,SMD_machine-1-6_test,512,128
normalized_deviation,mean,0.5037040360115908,0.18689738379171217,0.5804246391309977,0.2567959099209526,SMD_machine-1-6_test,512,128
normalized_deviation,topk_mean,0.5038064629485689,0.18484685414367022,0.5935983300088908,0.2581364957693915,SMD_machine-1-6_test,512,128
mse,l2,0.7396185921492177,0.13635914723866702,0.7963919161682054,0.17751219050537226,SMD_machine-1-7_test,512,128
mse,max,0.7444274312217741,0.1933260721764477,0.8160845968043662,0.2623224003151064,SMD_machine-1-7_test,512,128
mse,mean,0.7218709990461247,0.11876303094652166,0.7686283520059224,0.14786493870214684,SMD_machine-1-7_test,512,128
mse,topk_mean,0.7466693352322235,0.1493153527098406,0.8061179645929666,0.19902397303939118,SMD_machine-1-7_test,512,128
smape,l2,0.5788741824384837,0.10876404559882809,0.6409670505858007,0.11586901753268729,SMD_machine-1-7_test,512,128
smape,max,0.5657377050709275,0.15363325792285723,0.5735702093854612,0.10699856929513572,SMD_machine-1-7_test,512,128
smape,mean,0.5706412379999072,0.09337882925065188,0.613371527410579,0.1007360646308147,SMD_machine-1-7_test,512,128
smape,topk_mean,0.5842314239740946,0.08686075354535527,0.6498969780541412,0.1128508566818341,SMD_machine-1-7_test,512,128
interval,l2,0.6847284486808847,0.11772448796577259,0.749833962844569,0.15804557665058333,SMD_machine-1-7_test,512,128
interval,max,0.6800965813215334,0.1253397835697609,0.7534895413504684,0.1959016073179702,SMD_machine-1-7_test,512,128
interval,mean,0.6772280773667169,0.10694543248286649,0.7366635655013996,0.13933212338807344,SMD_machine-1-7_test,512,128
interval,topk_mean,0.6949680634841138,0.1364461598624617,0.7612002836771798,0.18051314810110416,SMD_machine-1-7_test,512,128
normalized_deviation,l2,0.6471714487501343,0.11323498014492658,0.7075096895439317,0.14201516955006935,SMD_machine-1-7_test,512,128
normalized_deviation,max,0.6469091971896239,0.15605282644797938,0.72657889015787,0.20904993047887366,SMD_machine-1-7_test,512,128
normalized_deviation,mean,0.6275267725092747,0.10209335457465316,0.6814307989009635,0.12305816271545104,SMD_machine-1-7_test,512,128
normalized_deviation,topk_mean,0.6511215436596678,0.15038635883429438,0.721416242900908,0.17242363742923933,SMD_machine-1-7_test,512,128
