dataset,n_files,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,12.43,0.0118,0.4336,0.0192,0.4424,0.0087,0.1488,0.0142,0.0007,0.1164
PSM,1,28.44,0.0875,0.3984,0.0994,0.4089,0.0039,0.5208,0.0353,0.0037,0.1861
Daphnet,1,1.07,0.2945,0.7823,0.3121,0.8087,0.101,0.9669,0.6238,0.0207,0.8502
Genesis,1,0.73,0.1258,0.4039,0.0363,0.5627,0.0,0.0,0.0,0.0,
SWaT,2,17.94,0.1552,0.4782,0.1549,0.4631,0.0208,0.0236,0.0687,0.0088,0.1379
CreditCard,1,27.07,0.0026,0.6496,0.0221,0.8706,0.0048,0.0048,0.0048,0.0,0.5859
GHL,23,12.0,0.0702,0.6326,0.054,0.6203,0.0,0.0,0.0,0.0,
OPP,7,0.7457,0.1579,0.6452,0.1612,0.6469,0.0062,0.1409,0.0898,0.0153,0.7642
SMAP,25,0.56,0.1507,0.5414,0.1506,0.598,0.1281,0.6935,0.4954,0.0401,0.7855
MSL,14,0.6493,0.2576,0.6032,0.2706,0.7238,0.2155,0.4976,0.484,0.106,0.8714
MITDB,11,34.7782,0.0563,0.4873,0.0468,0.5308,0.0225,0.4743,0.1835,0.024,0.6236
SVDB,28,27.3918,0.0982,0.5462,0.1035,0.6202,0.078,0.725,0.2377,0.0028,0.7151
Exathlon,25,1.9704,0.8163,0.8876,0.8128,0.8887,0.1769,0.3755,0.376,0.0212,0.9344
SMD,20,1.7465,0.1836,0.6078,0.1564,0.626,0.124,0.5009,0.2598,0.0145,0.5723
LTDB,4,19.4475,0.1649,0.4451,0.2024,0.5122,0.0362,0.5882,0.2339,0.0026,0.6139
TAO,11,18.5427,1.0,1.0,0.9998,1.0,0.6901,0.6953,0.6928,0.0002,0.9523
