model,dataset,filename,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
OmniAnomaly,GECCO,173_GECCO_id_1_Sensor_tr_16165_1st_16265.csv,178.81,0.13821705097164183,0.6309037760108005,0.11114642303943127,0.7285225042086757,0.23534927332395686,0.5336969224776004,0.1391641832420817,0.0004892964796573186,0.2697432705505805
OmniAnomaly,PSM,115_PSM_id_1_Facility_tr_50000_1st_129872.csv,519.87,0.16257021264113303,0.6322814037950344,0.17041413157409674,0.6019301607825482,0.025133372851215176,0.8349962700484894,0.1516142214957087,0.003181291631902547,0.39692736611104373
OmniAnomaly,Daphnet,018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,98.75,0.13783660096096628,0.7453845883822535,0.14463038630702657,0.7566738834448156,0.017849553761155972,0.8126272912423625,0.5350318471337574,0.02080111305935067,0.8192227877242924
OmniAnomaly,Genesis,001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,42.5,0.0037389758110788133,0.6001199752628325,0.007910252829897926,0.7425829821382797,0.0,0.0,0.0,0.0,0.6308677520375997
OmniAnomaly,SWaT,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,21.76,0.16225226973816115,0.6291559943431848,0.19225159574259476,0.6224900396455821,0.0064965197215777265,0.10665491405905686,0.06635071090047362,0.04845216651496404,0.481732849950437
OmniAnomaly,SWaT,172_SWaT_id_2_Sensor_tr_23700_1st_23800.csv,289.97,0.6570776769934337,0.9004365387178285,0.6402920294651245,0.8764494861447495,0.013866392762612097,0.02568281332835909,0.1338034880396453,0.011219309781088257,0.21616081848083477
OmniAnomaly,CreditCard,137_CreditCard_id_1_Finance_tr_500_1st_541.csv,46.64,0.002911137122906449,0.5587433045821586,0.03272447156329032,0.8675340719660221,0.012594458438287154,0.018832391713747645,0.011924280816812783,7.43215681283636e-06,0.5238794202538383
OmniAnomaly,GHL,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,505.73,0.0055917303867434485,0.25280079606229866,0.005852031106557683,0.26774225017506564,0.0,0.0,0.0,0.0,0.36147121910457375
OmniAnomaly,GHL,033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,493.65,0.0066843433693776245,0.3657312066169335,0.007005921206506192,0.3778760811832967,0.0,0.0,0.0,0.0,0.2955211423136867
OmniAnomaly,GHL,034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,504.24,0.006297790594434775,0.3009111101360957,0.006555052587226131,0.31532946924575966,0.0,0.0,0.0,0.0,0.4494476161777662
OmniAnomaly,GHL,035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,495.91,0.007790040186474665,0.19668093655161184,0.008108628153570522,0.2132847156037746,0.0,0.0,0.0,0.0,0.23111009085024786
OmniAnomaly,GHL,036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,499.18,0.00912781070740391,0.4270328765715279,0.009706188152280762,0.44531884749486894,0.0014251781472684087,0.4031125450749668,0.003103983445421618,0.010853625622542306,0.284630111568746
OmniAnomaly,GHL,037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,508.4,0.010511554673670253,0.5935174332375013,0.010994635244653519,0.6009130200972322,0.0,0.0,0.0,0.0,0.4707465520172039
OmniAnomaly,GHL,038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,265.15,0.0057633332684796645,0.314736274950899,0.0060149081244965106,0.3231481700595554,0.0,0.0,0.0,0.0,0.5619800562582509
OmniAnomaly,GHL,039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,504.42,0.0036040109681810804,0.25783648143423726,0.003728400102933563,0.2717825036188905,0.0,0.0,0.0,0.0,0.2913603098006098
OmniAnomaly,GHL,041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,507.53,0.005125371849191674,0.16738352533375223,0.006398342321207921,0.12166488088940372,0.0,0.0,0.0,0.0,0.31856087394034616
OmniAnomaly,GHL,042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,512.6,0.004948582976958863,0.28324746082634533,0.0053260274579605485,0.280678897808672,0.0,0.0,0.0,0.0,0.41942244513281973
OmniAnomaly,GHL,043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,124.41,0.007812370012871636,0.6903166505218046,0.008171421607957008,0.6950954062449607,0.0,0.0,0.0,0.0,0.7566383955722817
OmniAnomaly,GHL,044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,519.51,0.007675261067330317,0.4547826500422585,0.008064966878383394,0.4669252244855418,0.0,0.0,0.0,0.0,0.3780057585590866
OmniAnomaly,GHL,045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,516.05,0.020304776433394515,0.804074020923684,0.02167692670340207,0.8091587049843992,0.02258610954263128,0.6717238763512232,0.0441744892324682,0.008726952000962377,0.6158150590296081
