dataset,n_files,runtime_sec,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
GECCO,1,12.97,0.1177,0.6587,0.0343,0.5552,0.1313,0.186,0.0797,0.0007,0.1862
PSM,1,225.85,0.1783,0.6474,0.1688,0.5065,0.0259,0.0259,0.0499,0.0032,0.0742
Daphnet,1,2.09,0.0958,0.7302,0.1085,0.7294,0.0,0.0,0.0,0.0,0.0596
Genesis,1,7.32,0.0401,0.9407,0.1556,0.9494,0.0494,0.4952,0.1081,0.0303,0.4434
SWaT,1,154.0,0.2622,0.7254,0.286,0.6715,0.0172,0.1,0.0881,0.032,0.2127
CreditCard,1,40.19,0.0035,0.6067,0.0324,0.6827,0.0169,0.0169,0.0163,0.0,0.3138
GHL,23,101.6535,0.0421,0.5526,0.0372,0.5423,0.0244,0.0256,0.0249,0.0005,0.4005
OPP,7,53.6229,0.1565,0.7174,0.1602,0.7187,0.0144,0.1359,0.0762,0.0154,0.3775
SMAP,25,6.4168,0.2622,0.6807,0.2871,0.7108,0.2256,0.5278,0.3608,0.0521,0.6559
MSL,14,8.3486,0.2335,0.6575,0.291,0.6955,0.1127,0.3085,0.2289,0.0399,0.7944
MITDB,11,31.4491,0.1247,0.6362,0.1256,0.657,0.0705,0.1198,0.1013,0.001,0.5243
SVDB,28,22.3357,0.1223,0.4714,0.1188,0.5281,0.0706,0.2693,0.189,0.0017,0.4047
Exathlon,25,10.0688,0.5217,0.9067,0.5255,0.9066,0.0525,0.3204,0.1462,0.0189,0.437
SMD,20,23.7,0.4873,0.8302,0.4078,0.8139,0.3972,0.7319,0.5117,0.0243,0.6226
LTDB,4,15.565,0.4417,0.6744,0.4709,0.7199,0.0806,0.2258,0.2048,0.0012,0.3881
TAO,11,13.5182,0.1056,0.5308,0.6594,0.8671,0.0136,0.0142,0.0107,0.0002,0.0282
